[4811.9529, 'N', 300.9174, 'W', 90045.0]
[4811.9824, 'N', 300.9254, 'W', 90321.0]
[4811.9818, 'N', 300.9251, 'W', 90322.0]
[4811.9811, 'N', 300.9247, 'W', 90323.0]
[4811.9805, 'N', 300.9244, 'W', 90324.0]
[4811.9799, 'N', 300.9241, 'W', 90325.0]
[4811.9792, 'N', 300.9239, 'W', 90326.0]
[4811.9786, 'N', 300.9237, 'W', 90327.0]
[4811.978, 'N', 300.9235, 'W', 90328.0]
[4811.9774, 'N', 300.9232, 'W', 90329.0]
[4811.9769, 'N', 300.9229, 'W', 90330.0]
[4811.9764, 'N', 300.9225, 'W', 90331.0]
[4811.9759, 'N', 300.9221, 'W', 90332.0]
